ID,LAI,Time,Lat,Lon
3,1.86731,20210805 12:07:24,36.800737,-120.21205
5,1.59926,20210805 12:07:32,36.800739,-120.21205
15,0.507948,20210805 12:08:04,36.800728,-120.21202
17,1.11368,20210805 12:08:13,36.800719,-120.212
19,1.15479,20210805 12:08:19,36.800716,-120.21198
31,2.94377,20210805 12:09:03,36.800676,-120.2119
33,2.04293,20210805 12:09:10,36.800674,-120.21189
35,0.924127,20210805 12:09:17,36.800681,-120.21188
39,0.376215,20210805 12:09:28,36.80068,-120.21188
43,0.266492,20210805 12:09:44,36.800683,-120.21186
